id,type,name,description,layer,subjectarea,tags,path,partitions,table,creator,connectionid
stg_stammdaten_zugkategorie,HiveTableDataObject,"","","","","",/stammdaten/zugkategorien/data/,"",lab_anabel.git_stammdaten_zugkategorie,"",anabelStageLayerConnection
file_stammdaten_zugkategorie,CsvFileDataObject,"","","","","",hdfs://nameservice1/user/fbd_lab_anabel/stammdaten/zugkategorie/ZugkategorienANA2.csv,"","","",""
file_fzg_stammdaten_config,JsonFileDataObject,"","","","","",hdfs://nameservice1/user/fbd_lab_anabel/stage/anabel/stammdaten_git/data/20200709/fzgstammdaten.config.json,"","","",""
git_fzg_stammdaten_config,WebserviceFileDataObject,"","","","","","","","","",""
git_stammdaten_gefahrgut_bezeichnungen,WebserviceFileDataObject,"","","","","","","","","",""
file_stammdaten_gefahrgut_gefahrgutklassen,CsvFileDataObject,"","","","","",hdfs://nameservice1/user/fbd_lab_anabel/stammdaten/gefahrgut/UN_Gefahrgutklassen.csv,"","","",""
fzg_stammdaten,HiveTableDataObject,"","","","","",hdfs://nameservice1/user/fbd_lab_anabel/stammdaten/fzg_stammdaten/data,"",lab_anabel.git_fzg_stammdaten,"",""
git_fzg_stammdaten,WebserviceFileDataObject,"","","","","","","","","",""
stg_stammdaten_gefahrgut_leitstoff,TickTockHiveTableDataObject,"","","","","",/stg_stammdaten_gefahrgut_leitstoff/data/,"",lab_anabel.stg_stammdaten_gefahrgut_leitstoff(un_nr),"",anabelStageLayerConnection
file_stammdaten_gefahrgut_bezeichnungen,CsvFileDataObject,"","","","","",hdfs://nameservice1/user/fbd_lab_anabel/stammdaten/gefahrgut/UN_Bezeichnungen.csv,"","","",""
git_stammdaten_zugkategorie,WebserviceFileDataObject,"","","","","","","","","",""
git_stammdaten_gefahrgut_leitstoff,WebserviceFileDataObject,"","","","","","","","","",""
stg_stammdaten_gefahrgut_gefahrgutklassen,TickTockHiveTableDataObject,"","","","","",/stg_stammdaten_gefahrgut_gefahrgutklassen/data/,"",lab_anabel.stg_stammdaten_gefahrgut_gefahrgutklassen(UN_Nr),"",anabelStageLayerConnection
git_stammdaten_gefahrgut_gefahrgutklassen,WebserviceFileDataObject,"","","","","","","","","",""
file_stammdaten_gefahrgut_leitstoff,CsvFileDataObject,"","","","","",hdfs://nameservice1/user/fbd_lab_anabel/stammdaten/gefahrgut/UN_Leitstoff_Risiken.csv,"","","",""
stg_stammdaten_gefahrgut_bezeichnungen,HiveTableDataObject,"","","","","",/stg_stammdaten_gefahrgut_bezeichnungen/data/,"",lab_anabel.stg_stammdaten_gefahrgut_bezeichnungen(UN_Nr),"",anabelStageLayerConnection
file_fzg_stammdaten,JsonFileDataObject,"","","","","",hdfs://nameservice1/user/fbd_lab_anabel/stage/anabel/stammdaten_git/data/20200709/fzgstammdaten.json,"","","",""
