index,source,target,source_index,target_index,value
0,ana1,stg,3,7,4
1,anabel,stg,10,7,1
2,applications-conf-actions,export-actions,12,21,1
3,applications-conf-do,export-data-objects,6,16,1
4,atl,direktlink,4,22,3
5,atl,neig,4,19,6
6,atl,quality,4,15,2
7,atl,rep,4,18,8
8,atl,reporting,4,17,9
9,dfagis,stg,0,7,5
10,dgp,stg,8,7,1
11,dinar,stg,9,7,3
12,dmd,stg,14,7,1
13,file,fzg,11,20,2
14,file,stg,11,7,4
15,git,file,5,11,6
16,ihpt,rep,13,18,1
17,ihpt,stg,13,7,1
18,rcs,stg,2,7,5
19,stg,atl,7,4,7
20,stg,direktlink,7,22,1
21,stg,neig,7,19,4
22,stg,rep,7,18,1
23,stg,reporting,7,17,6
24,uno,reporting,1,17,2
25,uno,stg,1,7,16
